Est,DATE,STA,TEMP,SAL,Season,SAND,SILT,CLAY,TOC,DO,pH,mean_annual_SAL,SAL_anomaly
BR,1-Jul-2003,B,31.20999998,10.87499999,Summer,0.02342,0.80485,0.1715,0.86,6.044999994,7.819999993,23.29,12.41
BR,8-Jul-2002,B,32.50499997,18.34499997,Summer,0.02342,0.80485,0.1715,0.86,6.99499999,7.974999994,7.66,-10.68
BR,1-Jul-2003,B,31.20999998,10.87499999,Summer,0.02342,0.80485,0.1715,0.86,6.044999994,7.819999993,23.29,12.41
BR,8-Jul-2002,C,32.14999998,18.76499997,Summer,0.37965,0.5136,0.09903,0.56,7.564999998,8.04999999,9.32,-9.44
BR,1-Jul-2003,C,31.23499998,13.05499998,Summer,0.37965,0.5136,0.09903,0.56,5.64949999,7.914999992,23.12,10.06
BR,8-Jul-2002,C,32.14999998,18.76499997,Summer,0.37965,0.5136,0.09903,0.56,7.564999998,8.04999999,9.32,-9.44
BR,1-Jul-2003,C,31.23499998,13.05499998,Summer,0.37965,0.5136,0.09903,0.56,5.64949999,7.914999992,23.12,10.06
BR,8-Jul-2002,C,32.14999998,18.76499997,Summer,0.37965,0.5136,0.09903,0.56,7.564999998,8.04999999,9.32,-9.44
BR,1-Jul-2003,C,31.23499998,13.05499998,Summer,0.37965,0.5136,0.09903,0.56,5.64949999,7.914999992,23.12,10.06
BR,16-Oct-2002,A,24.63499996,11.00999997,Fall,0.01605,0.7211,0.26185,0.84,4.714999996,7.584999986,0.02,-10.99
BR,7-Oct-2003,A,28.13499999,15.92499998,Fall,0.079615,0.65505,0.2458,0.88,5.789999995,7.644999988,23.26,7.33
BR,16-Oct-2002,A,24.63499996,11.00999997,Fall,0.01605,0.7211,0.26185,0.84,4.714999996,7.584999986,0.02,-10.99
BR,7-Oct-2003,A,28.13499999,15.92499998,Fall,0.079615,0.65505,0.2458,0.88,5.789999995,7.644999988,23.26,7.33
BR,16-Oct-2002,A,24.63499996,11.00999997,Fall,0.01605,0.7211,0.26185,0.84,4.714999996,7.584999986,0.02,-10.99
BR,7-Oct-2003,A,28.13499999,15.92499998,Fall,0.079615,0.65505,0.2458,0.88,5.789999995,7.644999988,23.26,7.33
BR,16-Oct-2002,B,24.50499997,9.964999996,Fall,0.02342,0.80485,0.1715,0.86,4.974999987,7.679999992,8.39,-1.58
BR,7-Oct-2003,B,27.90499997,15.20999998,Fall,0.1228,0.6377,0.2302,0.88,6.609999992,7.834999986,23.29,8.08
BR,16-Oct-2002,B,24.50499997,9.964999996,Fall,0.02342,0.80485,0.1715,0.86,4.974999987,7.679999992,8.39,-1.58
BR,7-Oct-2003,B,27.90499997,15.20999998,Fall,0.1228,0.6377,0.2302,0.88,6.609999992,7.834999986,23.29,8.08
BR,16-Oct-2002,B,24.50499997,9.964999996,Fall,0.02342,0.80485,0.1715,0.86,4.974999987,7.679999992,8.39,-1.58
